ID	Type	Comment	RelatesTo
ex:exp_caa005b-cl-atom-basischeck	gc:MolecularComputation	isolated Cl atom, the smallest possible case; ROHF failed (needs explicit NSETO/NPAIR for the degenerate 3p5 open shell), switched to UHF	
ex:exp_caa005b-cl-atom-extfil-test	gc:MolecularComputation	same isolated Cl atom via EXTFIL (external basis file) instead of BASNAM; got further (basis read correctly) but hit the identical DGEMM crash -- ruled out BASNAM specifically as the cause, and ruled out core count (crashed the same at 8 and 1 cores)	
ex:exp_caa005bIRC-pcseg2-test	gc:MolecularComputation	native GBASIS=PCSEG-2 instead of custom def2-TZVPP; converged cleanly to the chemically correct energy (-766.37 vs def2-TZVPP's wrong -491.67 at the same geometry), zero imaginary frequencies -- resolved the whole saga: custom BASNAM/EXTFIL basis construction was broken on this ARCHER2 build, never a real chemical instability. Note RUNTYP was accidentally OPTIMIZE, not a strict single point	
ex:exp_caa007b	gc:MolecularComputation	last IRC point (Reaction Coordinate +89 of caa005bIRC.cml) re-optimized at wB97X-D/6-31G(d,p)/PCM(water); converged, zero imaginary frequencies -- genuine minimum	
ex:exp_caa005bTSb	gc:MolecularComputation	RUNTYP=SADPOINT re-search of the TS at 6-31G(d,p), using a genuine RUNTYP=HESSIAN-computed raw (unprojected) Hessian via HESS=READ after HESS=GUESS overrides failed to take effect; converged cleanly, SADDLE POINT LOCATED at NSERCH=7, exactly one imaginary frequency (1195.01i) -- confirmed genuine TS	
ex:exp_caa005bTSb-hess	gc:MolecularComputation	RUNTYP=HESSIAN precursor at the TS geometry, 6-31G(d,p)/PCM(water), to supply the real $HESS block caa005bTSb's saddle-point search needs	
ex:exp_caa007a-pcseg2	gc:MolecularComputation	single-point energy at wB97X-D/PCseg-2/PCM(water) for the 1st IRC point (from caa005bIRCCML1st-prerelax-631Gdp confirmed minimum); -766.3719959497 Hartree	
ex:exp_caa007b-pcseg2	gc:MolecularComputation	single-point energy at wB97X-D/PCseg-2/PCM(water) for the last IRC point (from caa007b confirmed minimum); -766.3839610278 Hartree	
ex:exp_caa005bTSb-pcseg2	gc:MolecularComputation	single-point energy at wB97X-D/PCseg-2/PCM(water) for the TS (from caa005bTSb confirmed saddle point); -766.3338684973 Hartree. Forward barrier ~23.9 kcal/mol, reverse barrier ~31.4 kcal/mol, reaction energy ~-7.5 kcal/mol (product side lower)	
ex:exp_caa008-aldehyde-bare	gc:MolecularComputation	geometry+frequency optimization of bare chloroacetaldehyde at wB97X-D/6-31G(d,p)/PCM(water); extracted from the 1st IRC point converged cluster (bond-length analysis: C3=O4 1.213 A confirms intact carbonyl), part of the standalone hydration thermodynamic cycle dG_hyd = G(hydrate) - [G(aldehyde) + G(water)]	
ex:exp_caa008-hydrate-bare	gc:MolecularComputation	geometry+frequency optimization of bare chloroacetaldehyde hydrate at wB97X-D/6-31G(d,p)/PCM(water); extracted from the last IRC point converged cluster -- bond-length analysis (C3-O4 1.387 A, C3-O7 1.418 A, C3-O8 3.022 A) confirmed which of the two original spectator waters was incorporated into the gem-diol via a proton relay	
ex:exp_caa008-water-bare	gc:MolecularComputation	geometry+frequency optimization of a standalone water molecule at wB97X-D/6-31G(d,p)/PCM(water), for the hydration thermodynamic cycle	
ex:exp_caa008-aldehyde-pcseg2	gc:MolecularComputation	single-point energy at wB97X-D/PCseg-2/PCM(water) for bare chloroacetaldehyde; -613.4620192589 Hartree	
ex:exp_caa008-hydrate-pcseg2	gc:MolecularComputation	single-point energy at wB97X-D/PCseg-2/PCM(water) for bare hydrate; -689.9272336982 Hartree	
ex:exp_caa008-water-pcseg2	gc:MolecularComputation	single-point energy at wB97X-D/PCseg-2/PCM(water) for standalone water; -76.4502962836 Hartree. Combined with 6-31G(d,p) thermal data: dG_hyd = -4.44 kcal/mol (0K, elec+ZPE), -5.99 kcal/mol (dH, 298K), but +5.88 kcal/mol (dG, 298K) -- the sign flip traced to -TdS ~ +11.9 kcal/mol, almost certainly an artifact of treating standalone water as an ideal gas (overestimated translational/rotational entropy relative to true liquid-phase water). Enthalpy trusted over raw Gibbs free energy pending a proper solution-phase entropy correction; acetaldehyde calibration (planned) will test this directly	
